195 Total Stars
55 x 80 y
['crew anamoly', 'malfunction', 'collision']
Orion
B1485O
         216302 function calls (216210 primitive calls) in 2.100 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 sre_compile.py:474(_code)
        4    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
        1    0.000    0.000    0.000    0.000 sre_parse.py:353(_parse_sub)
        4    0.000    0.000    0.000    0.000 sre_parse.py:210(get)
        1    0.000    0.000    0.000    0.000 galaxy.py:538(get)
        1    0.000    0.000    0.000    0.000 galaxy.py:81(star_gen)
        1    0.000    0.000    0.000    0.000 csv.py:22(Dialect)
       15    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method any}
        1    0.000    0.000    0.000    0.000 sre_parse.py:69(__init__)
        1    0.000    0.000    0.000    0.000 galaxy.py:483(cosmetic)
        1    0.000    0.000    0.000    0.000 random.py:623(SystemRandom)
        2    0.000    0.000    0.000    0.000 sre_compile.py:471(isstring)
        1    0.000    0.000    0.000    0.000 galaxy.py:13(galaxy_gen)
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:128(__len__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1147(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method min}
        1    0.000    0.000    0.000    0.000 lynn_custom.py:276(clusters)
        1    0.000    0.000    0.000    0.000 csv.py:167(Sniffer)
        1    0.000    0.000    0.000    0.000 sre_parse.py:726(fix_flags)
        1    0.000    0.000    0.000    0.000 csv.py:129(DictWriter)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:114(_path_isdir)
        5    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {built-in method openssl_md5}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1122(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:53(excel)
        1    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 csv.py:68(unix_dialect)
        2    0.000    0.000    0.000    0.000 sre_parse.py:204(match)
        1    0.000    0.000    0.000    0.000 galaxy.py:547(events)
        1    0.000    0.000    0.000    0.000 sre_parse.py:140(append)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha1}
        6    0.000    0.000    0.000    0.000 {built-in method globals}
        1    0.000    0.000    0.000    0.000 galaxy.py:549(star_name)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha224}
        1    0.000    0.000    0.000    0.000 sre_parse.py:136(__setitem__)
        1    0.000    0.000    0.000    0.000 galaxy.py:548(constellation)
        1    0.000    0.000    0.000    0.000 galaxy.py:534(developement)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha256}
        1    0.000    0.000    0.000    0.000 csv.py:63(excel_tab)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha512}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method id}
        1    0.000    0.000    0.000    0.000 {built-in method ord}


